pfma,year,pieces,tonnes,annualeffort,totaleffort
PFMA 17,2004,84,0.20916,8756,8756
PFMA 19,2004,7,0.01743,14786,14786
PFMA 20,2004,92,0.22908,48129,48129
PFMA 28,2004,11,0.02739,6931,6931
PFMA 29,2004,56,0.13944,4633,4633
PFMA 12,2005,494,1.23006,18682,18682
PFMA 13,2005,115,0.28635,26246,26246
PFMA 14,2005,240,0.5976,6697,6697
PFMA 15,2005,14,0.03486,369,369
PFMA 16,2005,61,0.15189,3552,3552
PFMA 17,2005,343,0.85407,7198,7198
PFMA 19,2005,19,0.04731,11816,11816
PFMA 20,2005,249,0.62001,40952,40952
PFMA 28,2005,20,0.0498,6154,6154
PFMA 29,2005,0,0,3353,3353
PFMA 12,2006,699,1.74051,15900,15900
PFMA 13,2006,62,0.15438,22966,22966
PFMA 14,2006,692,1.72308,6588,6588
PFMA 15,2006,79,0.19671,2014,2014
PFMA 16,2006,158,0.39342,1790,1790
PFMA 17,2006,458,1.14042,7090,7090
PFMA 18,2006,56,0.13944,6257,6257
PFMA 19,2006,69,0.17181,14866,14866
PFMA 20,2006,199,0.49551,41785,41785
PFMA 12,2007,379,0.94371,16737,16737
PFMA 13,2007,89,0.22161,20011,20011
PFMA 14,2007,16,0.03984,12363,12363
PFMA 15,2007,48,0.11952,2422,2422
PFMA 16,2007,105,0.26145,3698,3698
PFMA 17,2007,78,0.19422,6460,6460
PFMA 19,2007,26,0.06474,12091,12091
PFMA 20,2007,197,0.49053,43970,43970
PFMA 28,2007,12,0.02988,6060,6060
PFMA 29,2007,1,0.00249,4520,4520
PFMA 12,2008,677,1.68573,12914,12914
PFMA 13,2008,42,0.10458,18577,18577
PFMA 14,2008,93,0.23157,7653,7653
PFMA 15,2008,150,0.3735,1592,1592
PFMA 16,2008,400,0.996,3701,3701
PFMA 17,2008,85,0.21165,4751,4751
PFMA 19,2008,11,0.02739,12549,12549
PFMA 20,2008,316,0.78684,39880,39880
PFMA 28,2008,1,0.00249,4958,4958
PFMA 29,2008,12,0.02988,3993,3993
PFMA 12,2009,469,1.16781,15080,15080
PFMA 13,2009,63,0.15687,19413,19413
PFMA 14,2009,52,0.12948,9970,9970
PFMA 15,2009,153,0.38097,1907,1907
PFMA 16,2009,186,0.46314,2419,2419
PFMA 17,2009,442,1.10058,11134,11134
PFMA 20,2009,222,0.55278,49980,49980
PFMA 28,2009,66,0.16434,5103,5103
PFMA 29,2009,6,0.01494,4337,4337
PFMA 12,2010,671,1.67079,14981,14981
PFMA 13,2010,33,0.08217,17846,17846
PFMA 14,2010,278,0.69222,7388,7388
PFMA 15,2010,213,0.53037,1153,1153
PFMA 16,2010,385,0.95865,3533,3533
PFMA 17,2010,125,0.31125,8453,8453
PFMA 18,2010,7,0.01743,2911,2911
PFMA 19,2010,16,0.03984,11492,11492
PFMA 20,2010,117,0.29133,35235,35235
PFMA 29,2010,4,0.00996,8315,8315
PFMA 12,2011,631,1.57119,15376,15376
PFMA 13,2011,170,0.4233,23781,23781
PFMA 14,2011,417,1.03833,9587,9587
PFMA 15,2011,83,0.20667,3215,3215
PFMA 16,2011,188,0.46812,2504,2504
PFMA 17,2011,135,0.33615,10627,10627
PFMA 20,2011,146,0.36354,39437,39437
PFMA 29,2011,152,0.37848,9017,9017
PFMA 12,2012,1085,2.70165,12900,12900
PFMA 13,2012,115,0.28635,23863,23863
PFMA 14,2012,200,0.498,10961,10961
PFMA 15,2012,61,0.15189,1862,1862
PFMA 16,2012,86,0.21414,NA,NA
PFMA 17,2012,209,0.52041,12622,12622
PFMA 18,2012,4,0.00996,5679,5679
PFMA 19,2012,5,0.01245,16732,16732
PFMA 20,2012,236,0.58764,32483,32483
PFMA 29,2012,36,0.08964,8354,8354
PFMA 12,2013,268,0.66732,9396,9396
PFMA 13,2013,244,0.60756,27956,27956
PFMA 14,2013,608,1.51392,25724,25724
PFMA 15,2013,306,0.76194,3736,3736
PFMA 16,2013,966,2.40534,5033,5033
PFMA 17,2013,1780,4.4322,16090,16090
PFMA 18,2013,19,0.04731,7637,7637
PFMA 19,2013,43,0.10707,16157,16157
PFMA 20,2013,114,0.28386,38186,38186
PFMA 28,2013,33,0.08217,8122,8122
PFMA 29,2013,94,0.23406,6429,6429
PFMA 12,2014,282,0.70218,13036,13036
PFMA 13,2014,96,0.23904,31680,31680
PFMA 14,2014,92,0.22908,17119,17119
PFMA 17,2014,125,0.31125,15532,15532
PFMA 18,2014,27,0.06723,3083,3083
PFMA 19,2014,27,0.06723,14474,14474
PFMA 20,2014,114,0.28386,37396,37396
PFMA 12,2015,473,1.17777,12158,12158
PFMA 13,2015,266,0.66234,35145,35145
PFMA 14,2015,201,0.50049,19457,19457
PFMA 15,2015,402,1.00098,8044,8044
PFMA 16,2015,605,1.50645,11017,11017
PFMA 17,2015,374,0.93126,13689,13689
PFMA 19,2015,12,0.02988,19801,19801
PFMA 20,2015,119,0.29631,40113,40113
PFMA 12,2016,299,0.74451,13600,13600
PFMA 13,2016,88,0.21912,26187,26187
PFMA 14,2016,724,1.80276,16760,16760
PFMA 15,2016,766,1.90734,8406,8406
PFMA 16,2016,668,1.66332,8980,8980
PFMA 17,2016,786,1.95714,13605,13605
PFMA 18,2016,1,0.00249,6402,6402
PFMA 19,2016,7,0.01743,16563,16563
PFMA 20,2016,245,0.61005,32716,32716
PFMA 12,2017,438,1.09062,13737,13737
PFMA 13,2017,74,0.18426,30564,30564
PFMA 14,2017,1229,3.06021,23494,23494
PFMA 15,2017,734,1.82766,9739,9739
PFMA 16,2017,856,2.13144,12209,12209
PFMA 17,2017,522,1.29978,15822,15822
PFMA 18,2017,49,0.12201,10546,10546
PFMA 20,2017,232,0.57768,34152,34152
PFMA 29,2017,4,0.00996,18122,18122
PFMA 12,2018,454,1.13046,16676,16676
PFMA 13,2018,158,0.39342,32349,32349
PFMA 14,2018,297,0.73953,19566,19566
PFMA 15,2018,832,2.07168,9845,9845
PFMA 16,2018,639,1.59111,9085,9085
PFMA 17,2018,581,1.44669,12524,12524
PFMA 18,2018,44,0.10956,6261,6261
PFMA 19,2018,43,0.10707,18902,18902
PFMA 20,2018,30,0.0747,38514,38514
PFMA 28,2018,1,0.00249,6818,6818
PFMA 29,2018,47,0.11703,28483,28483
PFMA 12,2019,117,0.29133,10377,10377
PFMA 13,2019,83,0.20667,20561,20561
PFMA 14,2019,244,0.60756,16887,16887
PFMA 15,2019,617,1.53633,5565,5565
PFMA 16,2019,435,1.08315,5469,5469
PFMA 17,2019,163,0.40587,9089,9089
PFMA 19,2019,37,0.09213,13697,13697
PFMA 20,2019,264,0.65736,29526,29526
